college_name,city,state,nirf_rank,nirf_score,category,careers,min_cutoff,fees_lpa,avg_package_lpa
"Baba Banda Singh Bahadur Engineering College, Fatehgarh Sahib",Fatehgarh Sahib,Punjab,,,Engineering,"Technology,Science",60,1.0,5.0
Baba Ghulam Shah Badshah University,Rajouri,Jammu and Kashmir,,,Engineering,"Technology,Science",60,1.0,5.0
"BABA Institute of Technology & Science, P.M. Palem, Bakkannapalem Village,  Madhurawada, PIN-530048 (CC-NR)",Visakhapatnam,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
"Baderia Global Institute of Engineering & Management, Jabalpur",Jabalpur,Madhya Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Bajaj Institute of Technology,Wardha,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
Balaji Institute of Technology & Science,Narsampet,Telangana,,,Engineering,"Technology,Science",60,1.0,5.0
Ballari Institute of Technology & Management,Bellary,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
Banasthali Vidyapith,Banasthali,Rajasthan,,,Engineering,"Technology,Science",60,1.0,5.0
"Bangalore Institute of Technology, Bangalore",Bengaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
Bankura Unnayani Institute of Engineering,Bankura,West Bengal,,,Engineering,"Technology,Science",60,1.0,5.0
"BANSAL INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Lucknow,Uttar Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
"Bansal Institute of Science & Technology, Raisen Road, Kokta, Anand Nagar, Bhopal  - 462021",Bhopal,Madhya Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Bansilal Ramnath Agarwal Charitable Trust`s Vishwakarama Institute of Technology,Pune,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
Bapatla Engineering College,Bapatla,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Bapatla Women`s Engineering College,Bapatla,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
BAPUJI INSTITUTE OF ENGINEERING & TECHNOLOGY,Davangere,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
"Barkatullah University, Bhopal",Bhopal,Madhya Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Basaveshwar Engineering College,Bagalkot,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
"Beant College Of Engineering & Technology,Gurdaspur",Gurdaspur,Punjab,,,Engineering,"Technology,Science",60,1.0,5.0
Bengal College of Engineering & Technology,Durgapur,West Bengal,,,Engineering,"Technology,Science",60,1.0,5.0
Bengal Institute of Technology,Kolkata,West Bengal,,,Engineering,"Technology,Science",60,1.0,5.0
BETHLAHEM INSTITUTE OF ENGINEERING,KANYAKUMARI,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Bhabha Engineering Research Institute,Bhopal,Madhya Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Bhagalpur College of Engineering,Bhagalpur,Bihar,,,Engineering,"Technology,Science",60,1.0,5.0
Bhagat Phool Singh Mahila Vishwavidyalaya (WOMEN UNIVERSITY),Sonipat,Haryana,,,Engineering,"Technology,Science",60,1.0,5.0
Bhagwan Mahavir College of Engineering and Technology,Surat,Gujarat,,,Engineering,"Technology,Science",60,1.0,5.0
Bhagwan Parshuram Institute of Technology,Delhi,Delhi,,,Engineering,"Technology,Science",60,1.0,5.0
Bharat Institute of Engineering & Technology,Hyderabad,Telangana,,,Engineering,"Technology,Science",60,1.0,5.0
BHARATHIYAR INSTITUTE OF ENGINEERING FOR WOMEN,SALEM,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
"BHARATI VIDYAPEETH COLLEGE OF ENGINEERING, NAVI MUMBAI",Navi Mumbai,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
Bharati Vidyapeeth Deemed University College of Engineering,Pune,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
Bharati Vidyapeeth 'S College of Engineering for Women,Pune,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
Bharati Vidyapeeth`s College of Engineering,Kolhapur,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
Bharati Vidyapeeth`s College of Engineering,Pune,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
Bharati Vidyapeeth?s College of Engineering,New Delhi,Delhi,,,Engineering,"Technology,Science",60,1.0,5.0
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,Mumbai,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
Bhilai Institute of Technology,Durg,Chhattisgarh,,,Engineering,"Technology,Science",60,1.0,5.0
"Bhimavaram Institute of Engineering & Technology, Swamy Gnananadha Ashram Road, Pennada, Bhimavaram , PIN - 534243(CC-AP)",Bhiamvaram,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Bhubaneswar College Of Engineering,Bhubaneswar,Odisha,,,Engineering,"Technology,Science",60,1.0,5.0
"Biju Patnaik University of Technology, Rourkela",ROURKELA,Odisha,,,Engineering,"Technology,Science",60,1.0,5.0
Bipin Tripathi Kumaon Institute of  Technology,Almora,Uttarakhand,,,Engineering,"Technology,Science",60,1.0,5.0
Birla Institute of Technology,Ranchi,Jharkhand,,,Engineering,"Technology,Science",60,1.0,5.0
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,,,Engineering,"Technology,Science",60,1.0,5.0
Birla Vishvakarma Mahavidyalaya,Vallabh Vidyanagar,Gujarat,,,Engineering,"Technology,Science",60,1.0,5.0
BIT Sindri,Dhanbad,Jharkhand,,,Engineering,"Technology,Science",60,1.0,5.0
BMS Institute of Technology & Management,Bengaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
BNM INSTITUTE OF TECHNOLOGY,Bengaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
